epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1767,1.44059,2.7703,2.07379,0.47191,0.49135,0.52235,0.45334,0.64061,2.18288,0.94164,0.070566,0.00327044,0.00327044
2,23.6342,0.52779,1.21682,1.1137,0.50063,0.96251,0.58858,0.52243,0.49813,1.51108,0.72069,0.0405007,0.0065384,0.0065384
3,34.8659,0.52708,0.95365,1.09383,0.16367,0.544,0.2027,0.08269,1.61629,2.50624,2.69049,0.0103693,0.00974035,0.00974035
4,46.0676,0.49803,0.88954,1.06876,0.51788,0.82495,0.57333,0.45899,0.82151,1.76838,1.26754,0.009703,0.009703,0.009703
5,57.2258,0.46325,0.79331,1.04425,0.597,0.7033,0.68955,0.54573,0.75703,1.48338,1.25175,0.009604,0.009604,0.009604
6,68.4376,0.42238,0.72114,1.02588,0.62989,0.71978,0.68974,0.59553,0.47882,1.50247,0.88668,0.009505,0.009505,0.009505
7,79.5903,0.39755,0.66914,1.00589,0.67495,0.79281,0.78339,0.71093,0.45036,0.77227,0.8019,0.009406,0.009406,0.009406
8,90.768,0.37697,0.6416,0.99253,0.89503,0.73943,0.81514,0.75916,0.30437,0.5357,0.4108,0.009307,0.009307,0.009307
9,101.939,0.36105,0.63905,0.98218,0.53025,0.94563,0.79202,0.7258,0.44966,1.06638,0.67385,0.009208,0.009208,0.009208
10,113.129,0.33617,0.60954,0.96849,0.70264,0.77052,0.82438,0.77639,0.30765,0.71251,0.45574,0.009109,0.009109,0.009109
11,124.261,0.32695,0.57927,0.96347,0.62764,0.4086,0.30853,0.2793,0.56633,3.57912,0.80004,0.00901,0.00901,0.00901
12,135.433,0.31605,0.56071,0.95842,0.73724,0.78529,0.8331,0.7819,0.34909,0.65464,0.54747,0.008911,0.008911,0.008911
13,146.586,0.30502,0.55623,0.96018,0.66168,0.75546,0.79338,0.75648,0.29464,0.85846,0.45824,0.008812,0.008812,0.008812
14,157.863,0.2965,0.55305,0.95172,0.66191,0.73793,0.82065,0.73063,0.32398,0.80545,0.42947,0.008713,0.008713,0.008713
15,169.01,0.2848,0.54107,0.94797,0.55553,0.95117,0.86044,0.83353,0.23329,0.97383,0.32039,0.008614,0.008614,0.008614
16,180.171,0.28393,0.53864,0.95062,0.86917,0.82031,0.8853,0.85954,0.22741,0.43852,0.32136,0.008515,0.008515,0.008515
17,191.327,0.27101,0.52121,0.94553,0.91552,0.79691,0.88068,0.85739,0.18115,0.41723,0.2449,0.008416,0.008416,0.008416
18,202.459,0.26831,0.51542,0.93645,0.89026,0.78194,0.88612,0.8671,0.26035,0.42924,0.29801,0.008317,0.008317,0.008317
19,213.626,0.2595,0.50131,0.93644,0.54981,0.92031,0.82172,0.76809,0.34061,1.28559,0.46932,0.008218,0.008218,0.008218
20,224.785,0.25734,0.50358,0.94108,0.89385,0.78726,0.86218,0.82484,0.23729,0.46273,0.38149,0.008119,0.008119,0.008119
21,235.913,0.25626,0.50133,0.93207,0.55255,0.92661,0.72507,0.68394,0.37654,1.91518,0.59794,0.00802,0.00802,0.00802
22,247.087,0.24494,0.50863,0.93775,0.81282,0.83489,0.88331,0.84599,0.32539,0.48099,0.46858,0.007921,0.007921,0.007921
23,258.271,0.23955,0.48913,0.92655,0.73529,0.81333,0.85781,0.80187,0.35,0.56776,0.57696,0.007822,0.007822,0.007822
24,269.445,0.2337,0.47517,0.9265,0.89317,0.83174,0.90867,0.90173,0.15802,0.37732,0.25642,0.007723,0.007723,0.007723
25,280.627,0.22714,0.4692,0.92318,0.84626,0.74621,0.82741,0.79822,0.3026,0.57911,0.40266,0.007624,0.007624,0.007624
26,291.788,0.23289,0.47255,0.92637,0.7216,0.78597,0.85494,0.83046,0.26851,0.56278,0.43769,0.007525,0.007525,0.007525
27,302.921,0.22741,0.46941,0.92118,0.94384,0.76386,0.8761,0.85035,0.23069,0.44309,0.35053,0.007426,0.007426,0.007426
28,314.071,0.21926,0.46738,0.92137,0.84419,0.86081,0.91069,0.88661,0.23878,0.41046,0.28998,0.007327,0.007327,0.007327
29,325.196,0.21645,0.46239,0.91729,0.84844,0.82649,0.87991,0.86472,0.17935,0.37171,0.26292,0.007228,0.007228,0.007228
30,336.358,0.2124,0.45053,0.92022,0.54698,0.98305,0.8294,0.80624,0.22584,1.11116,0.3428,0.007129,0.007129,0.007129
31,347.484,0.20889,0.4383,0.91861,0.7031,0.80769,0.89107,0.8689,0.2238,0.63897,0.33749,0.00703,0.00703,0.00703
32,358.627,0.20815,0.44723,0.92543,0.88625,0.81628,0.89354,0.88248,0.15734,0.42127,0.2433,0.006931,0.006931,0.006931
33,369.781,0.20468,0.44477,0.91699,0.79947,0.78593,0.89581,0.88173,0.18725,0.51165,0.28228,0.006832,0.006832,0.006832
34,380.919,0.2018,0.44942,0.91636,0.8513,0.75557,0.86406,0.84345,0.22189,0.46148,0.33507,0.006733,0.006733,0.006733
35,392.055,0.20361,0.44118,0.91294,0.55805,0.88454,0.78253,0.75572,0.27755,1.83181,0.52611,0.006634,0.006634,0.006634
36,403.22,0.20191,0.43695,0.91851,0.64532,0.84862,0.8804,0.84342,0.28415,0.76968,0.39816,0.006535,0.006535,0.006535
37,414.355,0.19426,0.44307,0.91025,0.87535,0.78921,0.84007,0.81734,0.30761,0.4982,0.50927,0.006436,0.006436,0.006436
38,425.547,0.18916,0.44221,0.91709,0.89848,0.80991,0.89989,0.88738,0.15523,0.3727,0.21208,0.006337,0.006337,0.006337
39,436.676,0.18805,0.43782,0.90556,0.8404,0.8408,0.90399,0.88982,0.17354,0.39871,0.23848,0.006238,0.006238,0.006238
40,447.847,0.18727,0.43041,0.9085,0.90921,0.78411,0.86187,0.85018,0.19854,0.43805,0.30418,0.006139,0.006139,0.006139
41,459.011,0.18391,0.42566,0.90797,0.87497,0.78242,0.88865,0.87847,0.16706,0.39804,0.22966,0.00604,0.00604,0.00604
42,470.167,0.17913,0.41367,0.90694,0.92446,0.78555,0.89858,0.8931,0.16624,0.40479,0.22702,0.005941,0.005941,0.005941
43,481.312,0.17777,0.42921,0.90605,0.75104,0.8757,0.89318,0.87176,0.23955,0.49576,0.30884,0.005842,0.005842,0.005842
44,492.458,0.17642,0.40552,0.90696,0.78416,0.74888,0.87262,0.86138,0.19386,0.54769,0.30462,0.005743,0.005743,0.005743
45,503.606,0.17422,0.42269,0.90671,0.85004,0.79788,0.88977,0.86108,0.22464,0.47686,0.33669,0.005644,0.005644,0.005644
46,515.059,0.17531,0.42479,0.90671,0.79241,0.80122,0.88569,0.86362,0.17054,0.45134,0.24206,0.005545,0.005545,0.005545
47,526.034,0.17131,0.39379,0.90332,0.88097,0.83361,0.90314,0.89158,0.16512,0.35021,0.23651,0.005446,0.005446,0.005446
48,536.983,0.16667,0.42094,0.90278,0.5496,0.92847,0.8314,0.8102,0.28614,1.56032,0.37967,0.005347,0.005347,0.005347
49,547.904,0.1639,0.41555,0.89476,0.88794,0.74636,0.90239,0.88583,0.14147,0.39856,0.21311,0.005248,0.005248,0.005248
50,558.831,0.16265,0.40661,0.90438,0.48006,0.98471,0.79863,0.76947,0.26349,2.15862,0.42008,0.005149,0.005149,0.005149
51,569.786,0.16163,0.40161,0.90337,0.74452,0.7838,0.87234,0.85455,0.15332,0.53315,0.20395,0.00505,0.00505,0.00505
52,580.748,0.15933,0.38952,0.89924,0.82954,0.90688,0.91828,0.90838,0.14461,0.3592,0.2135,0.004951,0.004951,0.004951
53,591.675,0.15865,0.38958,0.90047,0.7471,0.80339,0.88113,0.85601,0.22547,0.50893,0.31095,0.004852,0.004852,0.004852
54,602.584,0.15679,0.38117,0.90247,0.575,0.94674,0.86064,0.85021,0.21886,0.84174,0.311,0.004753,0.004753,0.004753
55,613.534,0.15466,0.39706,0.89843,0.86382,0.82309,0.89389,0.88238,0.17287,0.40165,0.25393,0.004654,0.004654,0.004654
56,624.475,0.15704,0.39574,0.90008,0.93721,0.82813,0.91422,0.9065,0.15328,0.36181,0.20138,0.004555,0.004555,0.004555
57,635.395,0.1488,0.39526,0.89164,0.55326,0.99694,0.87888,0.85311,0.2031,0.77892,0.31838,0.004456,0.004456,0.004456
58,646.334,0.1479,0.39462,0.89912,0.75896,0.76272,0.84583,0.81772,0.23295,0.53618,0.41714,0.004357,0.004357,0.004357
59,657.255,0.14848,0.38654,0.89748,0.72577,0.85263,0.88483,0.8776,0.12368,0.50618,0.1914,0.004258,0.004258,0.004258
60,668.172,0.14453,0.38297,0.89388,0.76418,0.87727,0.89976,0.88156,0.18831,0.49351,0.27846,0.004159,0.004159,0.004159
61,679.084,0.14083,0.38443,0.8985,0.8661,0.86176,0.93263,0.9219,0.15027,0.32493,0.20746,0.00406,0.00406,0.00406
62,690.023,0.14027,0.38593,0.89587,0.91759,0.83955,0.91937,0.90916,0.15099,0.35013,0.21337,0.003961,0.003961,0.003961
63,700.925,0.13784,0.37019,0.89756,0.83929,0.84052,0.91752,0.89765,0.14365,0.37017,0.20364,0.003862,0.003862,0.003862
64,711.855,0.13585,0.36664,0.896,0.91556,0.81377,0.89909,0.87529,0.20016,0.34906,0.31115,0.003763,0.003763,0.003763
65,722.78,0.13881,0.36779,0.89484,0.88918,0.84568,0.91915,0.91082,0.12803,0.33386,0.17724,0.003664,0.003664,0.003664
66,733.74,0.13359,0.36046,0.89229,0.85253,0.82715,0.88235,0.88032,0.12691,0.37154,0.18383,0.003565,0.003565,0.003565
67,744.651,0.13489,0.37596,0.89016,0.84704,0.84192,0.90904,0.90241,0.13218,0.37417,0.18672,0.003466,0.003466,0.003466
68,755.58,0.12984,0.3708,0.89279,0.85644,0.8434,0.9125,0.90828,0.12651,0.35834,0.17666,0.003367,0.003367,0.003367
69,766.537,0.12905,0.36825,0.88871,0.88727,0.84793,0.90812,0.90696,0.09555,0.31862,0.16032,0.003268,0.003268,0.003268
70,777.446,0.12743,0.34897,0.88829,0.82516,0.83564,0.89817,0.88886,0.15253,0.35973,0.20326,0.003169,0.003169,0.003169
71,788.353,0.12605,0.35749,0.89394,0.88517,0.82691,0.9006,0.89703,0.11576,0.32731,0.16568,0.00307,0.00307,0.00307
72,799.304,0.12818,0.35417,0.88938,0.78678,0.89173,0.91606,0.90369,0.12809,0.37854,0.18787,0.002971,0.002971,0.002971
73,810.233,0.12157,0.34588,0.89387,0.89612,0.81884,0.88431,0.87686,0.13342,0.34708,0.18994,0.002872,0.002872,0.002872
74,821.17,0.12385,0.34858,0.8902,0.89036,0.8108,0.88892,0.87282,0.1687,0.37842,0.23234,0.002773,0.002773,0.002773
75,832.081,0.11835,0.34777,0.88934,0.63839,0.85744,0.86651,0.8539,0.1745,0.8963,0.2744,0.002674,0.002674,0.002674
76,843.002,0.1173,0.33101,0.89175,0.83596,0.88434,0.92632,0.91108,0.13792,0.29443,0.19989,0.002575,0.002575,0.002575
77,853.904,0.11568,0.34866,0.89035,0.85932,0.81857,0.91671,0.90714,0.11087,0.363,0.16962,0.002476,0.002476,0.002476
78,864.827,0.11326,0.34835,0.88648,0.82931,0.89205,0.9336,0.93285,0.07674,0.35886,0.12212,0.002377,0.002377,0.002377
79,875.817,0.11468,0.34158,0.89112,0.72701,0.90049,0.90103,0.89979,0.087,0.39213,0.14006,0.002278,0.002278,0.002278
80,886.726,0.11155,0.32984,0.88902,0.81712,0.88664,0.92049,0.91546,0.08876,0.31604,0.15219,0.002179,0.002179,0.002179
81,897.623,0.10988,0.33213,0.88424,0.8844,0.81882,0.90433,0.89288,0.15557,0.34729,0.22076,0.00208,0.00208,0.00208
82,908.555,0.11113,0.33096,0.88888,0.86235,0.86548,0.92829,0.92497,0.11658,0.33412,0.15932,0.001981,0.001981,0.001981
83,919.473,0.10975,0.33549,0.88771,0.81056,0.82757,0.92712,0.92211,0.14486,0.46683,0.21153,0.001882,0.001882,0.001882
84,930.385,0.10559,0.31783,0.88649,0.8757,0.87794,0.92016,0.91846,0.09826,0.29773,0.15328,0.001783,0.001783,0.001783
85,941.3,0.10386,0.32391,0.89002,0.86043,0.9082,0.93678,0.93435,0.08894,0.28295,0.14904,0.001684,0.001684,0.001684
86,952.242,0.10371,0.33529,0.88492,0.90855,0.84961,0.931,0.92893,0.09391,0.29837,0.15001,0.001585,0.001585,0.001585
87,963.162,0.09866,0.30852,0.88165,0.84754,0.84971,0.93135,0.93013,0.08224,0.36636,0.13431,0.001486,0.001486,0.001486
88,974.192,0.09871,0.31156,0.88416,0.89873,0.89736,0.95086,0.94839,0.07805,0.25015,0.12796,0.001387,0.001387,0.001387
89,985.154,0.09631,0.29774,0.88246,0.88233,0.8985,0.93553,0.93213,0.09915,0.26535,0.14914,0.001288,0.001288,0.001288
90,996.086,0.09504,0.29337,0.88264,0.87702,0.90224,0.93838,0.9337,0.09803,0.2915,0.14724,0.001189,0.001189,0.001189
91,1033.36,0.16625,0.38094,0.95385,0.86617,0.80103,0.88705,0.88278,0.12866,0.40512,0.20235,0.00109,0.00109,0.00109
92,1044.2,0.13241,0.26444,0.90475,0.90311,0.8357,0.92113,0.92113,0.06851,0.2956,0.13086,0.000991,0.000991,0.000991
93,1055.03,0.12156,0.24523,0.89731,0.88276,0.87673,0.93571,0.93571,0.05547,0.26844,0.10635,0.000892,0.000892,0.000892
94,1065.87,0.11568,0.23997,0.88792,0.85476,0.89719,0.92993,0.92993,0.05849,0.27306,0.1107,0.000793,0.000793,0.000793
95,1076.67,0.11241,0.22747,0.88631,0.88945,0.8603,0.92145,0.92084,0.06062,0.29308,0.111,0.000694,0.000694,0.000694
96,1087.53,0.11445,0.24047,0.89059,0.85214,0.86325,0.92839,0.92774,0.05371,0.30152,0.10228,0.000595,0.000595,0.000595
97,1098.39,0.11451,0.23271,0.88614,0.85947,0.88833,0.93055,0.93055,0.0584,0.26977,0.10752,0.000496,0.000496,0.000496
98,1109.24,0.10402,0.22115,0.87584,0.87518,0.90199,0.9398,0.9398,0.04924,0.24014,0.09373,0.000397,0.000397,0.000397
