               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056526,            0.027172,            0.018006,             0.30074,             0.35167,             0.25638,              0.1121,            0.017759,           0.0070149,           0.0062842,            0.070286,           0.0033016,           0.0033016
                   1,            0.034102,            0.018218,            0.015849,             0.25385,             0.66493,              0.3188,             0.20811,             0.01095,           0.0036784,           0.0073696,             0.04022,           0.0065692,           0.0065692
                   2,             0.02861,            0.013566,            0.013723,             0.44757,             0.71692,             0.52179,              0.3418,            0.011094,           0.0021396,           0.0055496,            0.010088,           0.0097709,           0.0097709
                   3,            0.024691,            0.011438,            0.013597,             0.33376,             0.68042,             0.40718,             0.18385,            0.015517,           0.0031544,            0.013362,            0.009703,            0.009703,            0.009703
                   4,            0.021909,           0.0099941,            0.012629,             0.85225,             0.76576,             0.84053,             0.68717,           0.0092445,           0.0016134,           0.0044121,            0.009703,            0.009703,            0.009703
                   5,            0.019374,           0.0094417,            0.012511,             0.71691,             0.72664,             0.77837,              0.6772,           0.0040923,           0.0015881,           0.0047643,            0.009604,            0.009604,            0.009604
                   6,            0.017372,           0.0086955,            0.012496,             0.79264,             0.75231,             0.80348,             0.56041,           0.0060654,           0.0025563,           0.0046677,            0.009505,            0.009505,            0.009505
                   7,            0.017162,           0.0087331,            0.011968,             0.81249,             0.77149,             0.83692,             0.76343,           0.0031964,           0.0018557,           0.0044315,            0.009406,            0.009406,            0.009406
                   8,            0.014569,           0.0078187,            0.011146,             0.84079,             0.78574,             0.84813,             0.73528,            0.006121,           0.0023995,            0.003901,            0.009307,            0.009307,            0.009307
                   9,            0.014874,           0.0075334,            0.011528,             0.82334,             0.77179,             0.85425,             0.78712,           0.0028541,           0.0017474,           0.0041429,            0.009208,            0.009208,            0.009208
                  10,            0.014918,           0.0075792,             0.01155,             0.45695,             0.94801,             0.67015,             0.58963,           0.0050527,           0.0016502,            0.014666,            0.009109,            0.009109,            0.009109
