               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090409,            0.026775,            0.016787,              0.2392,             0.28325,             0.18415,            0.088594,            0.035717,           0.0088691,           0.0059366,             0.07019,           0.0033122,           0.0033122
                   1,            0.060874,            0.019983,           0.0089354,             0.45705,             0.63428,             0.51645,              0.2689,            0.028465,           0.0070576,           0.0045051,            0.040124,           0.0065798,           0.0065798
                   2,              0.0543,            0.016994,           0.0076833,             0.59297,             0.69574,             0.61909,              0.2616,            0.026367,           0.0058968,           0.0052123,           0.0099923,           0.0097813,           0.0097813
                   3,            0.050095,               0.015,           0.0072167,             0.81792,             0.57783,               0.705,             0.49781,            0.023655,           0.0061439,           0.0036093,            0.009703,            0.009703,            0.009703
                   4,            0.045803,            0.014296,           0.0063701,             0.73054,             0.59165,             0.67769,             0.45978,            0.022301,           0.0057632,           0.0038321,            0.009703,            0.009703,            0.009703
                   5,            0.042946,            0.014006,           0.0060914,             0.72073,             0.57152,             0.69552,             0.49378,            0.020217,            0.005641,           0.0038673,            0.009604,            0.009604,            0.009604
                   6,            0.041242,            0.013351,            0.006008,             0.83667,             0.61109,             0.74392,             0.58217,            0.019343,           0.0054415,           0.0031312,            0.009505,            0.009505,            0.009505
                   7,            0.039793,             0.01297,           0.0057008,             0.72761,               0.549,             0.70269,             0.51006,            0.018421,           0.0049859,           0.0044905,            0.009406,            0.009406,            0.009406
                   8,            0.037853,            0.012424,           0.0053151,             0.72471,             0.69246,             0.77244,             0.57949,            0.019817,           0.0050797,           0.0030206,            0.009307,            0.009307,            0.009307
                   9,            0.037202,            0.012134,           0.0053555,             0.62916,             0.67763,             0.70129,             0.51345,            0.018699,           0.0051055,           0.0056606,            0.009208,            0.009208,            0.009208
                  10,             0.03662,            0.011626,              0.0055,             0.86058,             0.64728,             0.79387,             0.60693,            0.018202,           0.0051693,           0.0027905,            0.009109,            0.009109,            0.009109
                  11,            0.034565,            0.011362,           0.0054464,             0.79335,             0.65371,             0.75118,             0.59673,            0.017151,           0.0048094,           0.0030149,             0.00901,             0.00901,             0.00901
                  12,            0.035033,            0.011443,           0.0050511,             0.89048,             0.65909,              0.8005,             0.65576,            0.016659,           0.0053092,           0.0026747,            0.008911,            0.008911,            0.008911
                  13,            0.034311,            0.011196,           0.0051591,             0.67637,              0.7464,             0.76868,             0.62222,            0.016462,           0.0049974,            0.004105,            0.008812,            0.008812,            0.008812
                  14,            0.033556,            0.011162,           0.0049508,             0.71942,              0.5766,             0.67991,              0.4413,            0.022688,           0.0058178,            0.003388,            0.008713,            0.008713,            0.008713
                  15,             0.03263,            0.011083,           0.0053106,             0.78789,             0.57041,             0.71058,             0.55163,            0.015299,           0.0050865,           0.0027614,            0.008614,            0.008614,            0.008614
                  16,            0.032857,            0.010832,            0.004971,             0.90572,             0.63427,             0.81307,             0.70484,            0.015419,           0.0049715,           0.0025833,            0.008515,            0.008515,            0.008515
