               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090409,            0.026775,            0.016787,              0.2392,             0.28325,             0.18415,            0.088594,            0.035717,           0.0088691,           0.0059366,             0.07019,           0.0033122,           0.0033122
                   1,            0.060464,             0.01997,           0.0089482,             0.35306,             0.63506,             0.39231,             0.18839,            0.029271,           0.0069856,           0.0048858,            0.040157,           0.0066127,           0.0066127
                   2,            0.053963,            0.017032,           0.0076673,             0.62368,             0.53266,             0.62263,             0.45924,             0.02267,           0.0057271,           0.0049471,            0.010091,           0.0098801,           0.0098801
                   3,            0.049637,            0.015021,           0.0071239,             0.64378,             0.60976,             0.68323,             0.39855,            0.028513,           0.0060443,            0.003777,           0.0098515,           0.0098515,           0.0098515
                   4,            0.046004,             0.01446,           0.0064069,             0.66335,             0.59791,             0.68549,             0.48886,            0.020762,           0.0061931,           0.0040898,           0.0098515,           0.0098515,           0.0098515
                   5,            0.042955,            0.013751,           0.0059884,             0.75646,             0.60798,             0.72633,             0.50387,            0.021453,           0.0058869,           0.0029849,            0.009802,            0.009802,            0.009802
                   6,            0.041344,            0.013385,           0.0060007,              0.6938,             0.63913,             0.73319,             0.55229,            0.021719,           0.0054898,           0.0031751,           0.0097525,           0.0097525,           0.0097525
                   7,            0.039955,            0.013082,             0.00583,             0.72175,              0.6474,             0.72548,             0.57394,            0.017955,           0.0051909,           0.0035195,            0.009703,            0.009703,            0.009703
                   8,             0.03841,            0.012469,           0.0053636,             0.66907,             0.73681,             0.77485,             0.65107,            0.016895,           0.0049483,           0.0030253,           0.0096535,           0.0096535,           0.0096535
                   9,            0.037487,            0.012045,            0.005476,             0.57081,             0.50993,             0.58719,             0.42376,            0.017962,            0.005463,           0.0043987,            0.009604,            0.009604,            0.009604
                  10,            0.036778,             0.01168,           0.0055137,             0.91145,             0.62734,             0.79937,              0.6649,            0.017685,           0.0051158,           0.0028925,           0.0095545,           0.0095545,           0.0095545
                  11,            0.035049,            0.011418,            0.005481,             0.78881,             0.61487,             0.75307,             0.60176,            0.017485,           0.0048528,           0.0031125,            0.009505,            0.009505,            0.009505
                  12,            0.035204,            0.011513,           0.0050566,             0.85987,             0.62368,             0.79416,             0.64898,            0.016462,           0.0054707,            0.003063,           0.0094555,           0.0094555,           0.0094555
                  13,             0.03487,            0.011355,           0.0051523,             0.74031,              0.6591,             0.79985,             0.67266,            0.016482,           0.0051266,            0.003526,            0.009406,            0.009406,            0.009406
                  14,            0.034062,            0.011413,            0.005157,             0.88676,             0.64027,             0.80142,              0.6946,            0.016324,           0.0050595,           0.0025716,           0.0093565,           0.0093565,           0.0093565
                  15,            0.032765,            0.011194,           0.0052085,             0.81822,             0.66152,             0.79872,              0.6471,            0.016374,           0.0050645,           0.0028233,            0.009307,            0.009307,            0.009307
                  16,            0.033247,            0.010968,           0.0050422,             0.88961,             0.65737,             0.82685,             0.69468,            0.015943,           0.0050674,            0.002454,           0.0092575,           0.0092575,           0.0092575
                  17,            0.032779,            0.010918,           0.0048099,             0.88741,             0.67439,             0.80773,             0.67884,            0.015114,           0.0050236,           0.0026573,            0.009208,            0.009208,            0.009208
                  18,            0.032647,             0.01085,           0.0046276,             0.89208,             0.62927,             0.80111,             0.67319,            0.015053,           0.0046884,           0.0026993,           0.0091585,           0.0091585,           0.0091585
                  19,            0.032076,            0.010719,           0.0047909,             0.79885,             0.67295,              0.7952,              0.6347,            0.016363,            0.005046,           0.0029675,            0.009109,            0.009109,            0.009109
                  20,             0.03173,            0.010981,           0.0047551,             0.83942,             0.65612,             0.80718,             0.68764,            0.016127,           0.0050458,           0.0027173,           0.0090595,           0.0090595,           0.0090595
                  21,            0.030662,            0.010723,           0.0045752,             0.89375,             0.67981,             0.83053,             0.71515,            0.015907,           0.0051676,           0.0025068,             0.00901,             0.00901,             0.00901
                  22,            0.030757,            0.010248,           0.0046851,              0.8187,             0.65672,             0.80792,             0.67101,            0.015859,           0.0045339,           0.0029533,           0.0089605,           0.0089605,           0.0089605
                  23,            0.030891,            0.010388,            0.004574,             0.83685,             0.68675,             0.80922,             0.70514,            0.015719,           0.0054007,           0.0026498,            0.008911,            0.008911,            0.008911
                  24,            0.030661,            0.010041,           0.0043732,             0.83748,             0.71733,             0.84562,             0.73572,            0.014476,           0.0047714,           0.0023295,           0.0088615,           0.0088615,           0.0088615
                  25,             0.03019,             0.01046,           0.0043345,             0.88543,             0.66601,             0.83359,             0.71194,            0.015045,           0.0051813,           0.0026005,            0.008812,            0.008812,            0.008812
                  26,            0.030928,            0.010161,           0.0046617,             0.90439,             0.63049,             0.77846,             0.65455,            0.015427,           0.0053572,           0.0028399,           0.0087625,           0.0087625,           0.0087625
                  27,            0.030168,            0.010267,           0.0046401,             0.87698,             0.66881,             0.81874,             0.71698,            0.014854,           0.0052933,           0.0024832,            0.008713,            0.008713,            0.008713
                  28,            0.029699,            0.010177,           0.0042814,             0.87656,             0.69612,              0.8392,             0.71582,            0.014573,           0.0052288,           0.0024495,           0.0086635,           0.0086635,           0.0086635
                  29,             0.02918,            0.010291,           0.0043839,             0.92112,             0.67281,             0.81566,              0.7018,            0.014594,           0.0049245,           0.0026397,            0.008614,            0.008614,            0.008614
                  30,            0.029929,            0.010276,           0.0043999,             0.80248,             0.71247,             0.82216,             0.70738,            0.014605,           0.0049389,           0.0025088,           0.0085645,           0.0085645,           0.0085645
                  31,            0.028996,            0.009966,            0.004767,             0.80499,             0.67392,             0.80287,             0.68205,            0.014547,           0.0048581,           0.0026604,            0.008515,            0.008515,            0.008515
                  32,            0.028726,            0.010001,           0.0046143,             0.78568,             0.64595,             0.79509,              0.6768,               0.015,           0.0049185,           0.0028045,           0.0084655,           0.0084655,           0.0084655
                  33,             0.02863,           0.0099234,           0.0042836,             0.81694,             0.69561,             0.82744,             0.70855,            0.015036,           0.0051684,           0.0028543,            0.008416,            0.008416,            0.008416
                  34,            0.028707,           0.0099433,           0.0043755,             0.80567,             0.71548,             0.83255,             0.72574,            0.014373,           0.0052021,            0.002595,           0.0083665,           0.0083665,           0.0083665
                  35,            0.027534,           0.0094921,           0.0044029,             0.88787,              0.6905,             0.82981,             0.72595,            0.014301,           0.0051585,           0.0024622,            0.008317,            0.008317,            0.008317
                  36,            0.027824,           0.0098724,           0.0043102,             0.89623,             0.62575,             0.81251,             0.67918,            0.014558,           0.0048969,           0.0026423,           0.0082675,           0.0082675,           0.0082675
                  37,            0.028165,           0.0099344,           0.0043836,             0.78402,             0.71045,             0.82554,             0.71183,            0.014451,           0.0052199,           0.0027763,            0.008218,            0.008218,            0.008218
                  38,            0.027359,           0.0097293,           0.0045363,             0.85827,             0.66828,             0.82589,             0.72997,            0.014386,           0.0049684,           0.0025072,           0.0081685,           0.0081685,           0.0081685
                  39,            0.027247,           0.0093278,           0.0044439,             0.91744,             0.67956,             0.83567,             0.73481,            0.013842,           0.0049096,           0.0027586,            0.008119,            0.008119,            0.008119
                  40,            0.027558,           0.0094879,           0.0042289,             0.90096,             0.69076,              0.8383,             0.74528,            0.014504,           0.0050432,           0.0024962,           0.0080695,           0.0080695,           0.0080695
                  41,            0.027122,           0.0093382,           0.0043624,             0.76704,             0.73082,             0.81895,             0.70293,            0.014437,           0.0051571,           0.0026971,             0.00802,             0.00802,             0.00802
                  42,            0.027209,            0.009197,           0.0042949,             0.48822,             0.81161,             0.74527,             0.60325,            0.015645,           0.0053498,            0.010551,           0.0079705,           0.0079705,           0.0079705
                  43,             0.02681,           0.0096867,           0.0043625,              0.8548,             0.73072,              0.8443,             0.75097,            0.014115,           0.0050334,            0.002403,            0.007921,            0.007921,            0.007921
                  44,            0.026949,           0.0094789,           0.0042679,              0.8711,             0.69717,             0.83356,             0.74031,            0.013514,           0.0052288,           0.0023447,           0.0078715,           0.0078715,           0.0078715
                  45,            0.026976,           0.0094812,           0.0043594,             0.82706,             0.73567,             0.84796,             0.73742,            0.014174,           0.0051943,           0.0024586,            0.007822,            0.007822,            0.007822
                  46,            0.027497,            0.009331,           0.0041787,             0.85306,             0.72897,             0.85075,             0.76002,            0.013817,           0.0053389,           0.0022955,           0.0077725,           0.0077725,           0.0077725
