               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099077,            0.027726,            0.017642,              0.4006,               0.316,             0.27029,             0.11965,            0.047483,           0.0084451,           0.0050548,             0.07038,           0.0032911,           0.0032911
                   1,            0.065759,            0.021148,           0.0091692,             0.34333,             0.54758,             0.37201,              0.2396,            0.040404,           0.0067203,           0.0043708,            0.040314,           0.0065589,           0.0065589
                   2,            0.058519,            0.018074,           0.0084969,             0.41992,             0.52214,             0.51003,             0.28388,            0.037897,           0.0077722,           0.0045618,            0.010183,           0.0097606,           0.0097606
                   3,            0.052901,            0.016155,           0.0075782,             0.28982,             0.18739,             0.17619,              0.0842,            0.036153,           0.0080064,           0.0043757,            0.009703,            0.009703,            0.009703
                   4,            0.048354,            0.014845,           0.0065301,             0.60897,              0.4598,             0.55718,              0.3868,            0.027957,           0.0063383,           0.0047381,            0.009703,            0.009703,            0.009703
                   5,            0.046259,            0.014654,           0.0062734,             0.63433,             0.59808,             0.69054,             0.43588,            0.028397,           0.0058622,            0.003456,            0.009604,            0.009604,            0.009604
                   6,            0.043882,            0.013953,           0.0061559,             0.18522,             0.16574,             0.13199,            0.057321,            0.033218,           0.0073841,           0.0066105,            0.009505,            0.009505,            0.009505
                   7,            0.041632,            0.013537,            0.005941,             0.48367,             0.54036,              0.5538,              0.2981,            0.028594,           0.0056478,           0.0041778,            0.009406,            0.009406,            0.009406
                   8,            0.040391,            0.013092,           0.0055541,             0.84187,             0.60846,             0.74775,             0.54704,            0.024634,           0.0044809,           0.0029058,            0.009307,            0.009307,            0.009307
                   9,            0.038593,            0.012602,           0.0054652,             0.81162,             0.60831,             0.75147,             0.60982,            0.023363,           0.0049272,           0.0027479,            0.009208,            0.009208,            0.009208
                  10,            0.038213,             0.01221,           0.0054553,              0.7125,             0.56126,             0.64984,             0.49771,            0.023381,           0.0051989,           0.0036265,            0.009109,            0.009109,            0.009109
                  11,            0.037249,            0.011797,           0.0056123,             0.86588,             0.59834,             0.75012,              0.6028,            0.023184,           0.0051863,           0.0029113,             0.00901,             0.00901,             0.00901
                  12,            0.036578,            0.011958,           0.0052667,             0.83913,             0.64711,             0.77355,             0.59194,            0.021588,           0.0048379,           0.0029139,            0.008911,            0.008911,            0.008911
