               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090409,            0.026775,            0.016787,              0.2396,             0.28377,             0.18412,            0.088572,            0.039077,            0.008801,            0.005886,             0.07019,           0.0033122,           0.0033122
                   1,            0.060874,            0.019983,           0.0089354,             0.45705,             0.63428,             0.51652,             0.26895,            0.031202,           0.0069929,            0.004397,            0.040124,           0.0065798,           0.0065798
                   2,              0.0543,            0.016994,           0.0076833,             0.59297,             0.69574,             0.61903,             0.26197,            0.029191,           0.0058334,           0.0051642,           0.0099923,           0.0097813,           0.0097813
                   3,            0.050095,               0.015,           0.0072167,             0.81792,             0.57783,             0.70498,             0.49779,             0.02642,           0.0060844,           0.0035192,            0.009703,            0.009703,            0.009703
                   4,            0.045803,            0.014296,           0.0063701,             0.73054,             0.59165,             0.67767,             0.45977,            0.024557,           0.0057029,           0.0037996,            0.009703,            0.009703,            0.009703
                   5,            0.042946,            0.014006,           0.0060914,             0.72073,             0.57152,             0.69558,              0.4939,            0.022173,           0.0055825,           0.0036506,            0.009604,            0.009604,            0.009604
                   6,            0.041242,            0.013351,            0.006008,             0.83667,             0.61109,             0.74391,             0.58215,            0.021607,           0.0053796,           0.0030943,            0.009505,            0.009505,            0.009505
                   7,            0.039793,             0.01297,           0.0057008,             0.72761,               0.549,             0.70267,             0.51003,            0.020864,           0.0049258,           0.0043591,            0.009406,            0.009406,            0.009406
                   8,            0.037853,            0.012424,           0.0053151,             0.72471,             0.69246,             0.77248,             0.57954,            0.021778,           0.0050175,           0.0029387,            0.009307,            0.009307,            0.009307
                   9,            0.037202,            0.012134,           0.0053555,             0.62916,             0.67763,             0.70115,              0.5133,            0.020855,             0.00505,             0.00572,            0.009208,            0.009208,            0.009208
                  10,             0.03662,            0.011626,              0.0055,             0.86058,             0.64728,             0.79395,               0.607,            0.020098,           0.0051078,           0.0027071,            0.009109,            0.009109,            0.009109
                  11,            0.034565,            0.011362,           0.0054464,             0.79335,             0.65371,             0.75117,             0.59673,            0.019326,           0.0047556,           0.0029808,             0.00901,             0.00901,             0.00901
                  12,            0.035033,            0.011443,           0.0050511,             0.89048,             0.65909,             0.80048,             0.65577,            0.018558,           0.0052533,           0.0026018,            0.008911,            0.008911,            0.008911
                  13,            0.034311,            0.011196,           0.0051591,             0.67637,              0.7464,             0.76853,             0.62214,            0.018195,           0.0049408,           0.0040661,            0.008812,            0.008812,            0.008812
                  14,            0.033556,            0.011162,           0.0049508,             0.71942,              0.5766,             0.67994,             0.44129,            0.023946,           0.0057545,           0.0031519,            0.008713,            0.008713,            0.008713
                  15,             0.03263,            0.011083,           0.0053106,             0.78789,             0.57041,             0.71045,             0.55158,            0.017171,           0.0050328,           0.0026688,            0.008614,            0.008614,            0.008614
                  16,            0.032857,            0.010832,            0.004971,             0.90572,             0.63427,             0.81309,             0.70485,            0.017249,           0.0049206,           0.0025139,            0.008515,            0.008515,            0.008515
                  17,            0.032651,             0.01095,           0.0047051,             0.81934,             0.66849,             0.81519,             0.68237,            0.017252,           0.0048648,           0.0026515,            0.008416,            0.008416,            0.008416
                  18,            0.032668,            0.010849,           0.0045681,             0.88501,             0.66722,             0.83061,             0.71954,            0.017666,            0.004839,           0.0023905,            0.008317,            0.008317,            0.008317
                  19,             0.03174,            0.010604,           0.0046338,             0.75516,             0.66446,             0.74109,             0.62112,            0.017183,           0.0051082,           0.0037198,            0.008218,            0.008218,            0.008218
                  20,            0.031159,            0.010876,           0.0045685,             0.75604,             0.72781,             0.82407,             0.68531,            0.017747,           0.0048247,           0.0030017,            0.008119,            0.008119,            0.008119
                  21,            0.030203,            0.010637,           0.0045239,             0.84093,             0.58711,             0.74944,             0.60386,            0.017611,           0.0049123,           0.0025334,             0.00802,             0.00802,             0.00802
                  22,            0.030043,            0.010248,           0.0046469,             0.89415,             0.65314,             0.81941,             0.68735,            0.017117,           0.0048815,           0.0024437,            0.007921,            0.007921,            0.007921
                  23,            0.030358,            0.010289,           0.0044566,             0.79501,             0.67259,              0.8069,             0.65096,            0.017903,           0.0050726,           0.0025677,            0.007822,            0.007822,            0.007822
                  24,            0.030368,            0.010049,           0.0044581,             0.89588,             0.67902,             0.81392,             0.69711,            0.016958,           0.0047015,           0.0024387,            0.007723,            0.007723,            0.007723
                  25,            0.029791,            0.010379,           0.0043166,             0.80789,             0.71814,             0.83176,             0.72675,            0.015967,           0.0048637,           0.0024438,            0.007624,            0.007624,            0.007624
                  26,            0.030187,             0.01009,            0.004675,              0.8673,             0.69503,             0.82522,             0.71504,            0.015972,           0.0052816,           0.0023488,            0.007525,            0.007525,            0.007525
                  27,            0.029155,            0.010045,           0.0045378,             0.83476,             0.68304,             0.80813,              0.6866,            0.016278,            0.005032,             0.00278,            0.007426,            0.007426,            0.007426
                  28,            0.028752,           0.0099887,           0.0041909,             0.84593,             0.70922,             0.84094,             0.73794,            0.015825,           0.0049375,           0.0024401,            0.007327,            0.007327,            0.007327
                  29,            0.028233,            0.010134,           0.0043501,             0.86343,             0.69674,             0.83633,              0.7364,            0.015788,            0.005023,           0.0023868,            0.007228,            0.007228,            0.007228
                  30,            0.028965,             0.01012,           0.0043212,             0.87541,             0.67597,             0.82909,             0.71468,            0.016129,           0.0048586,           0.0023032,            0.007129,            0.007129,            0.007129
                  31,             0.02829,           0.0097233,           0.0046427,             0.82824,              0.7004,             0.82838,             0.72099,            0.015464,           0.0047894,           0.0027434,             0.00703,             0.00703,             0.00703
                  32,             0.02777,           0.0098062,           0.0044895,             0.85612,             0.65541,             0.81095,             0.69942,            0.016304,            0.005009,            0.002683,            0.006931,            0.006931,            0.006931
                  33,            0.028071,           0.0097868,           0.0042163,             0.58324,             0.79448,             0.76795,             0.62033,            0.016429,           0.0050476,           0.0058331,            0.006832,            0.006832,            0.006832
                  34,            0.028032,           0.0097266,           0.0042617,             0.83696,             0.69162,             0.83492,             0.73643,            0.015718,           0.0048298,           0.0023764,            0.006733,            0.006733,            0.006733
                  35,            0.026745,           0.0093586,           0.0043508,             0.86972,             0.67736,             0.83482,             0.72655,            0.015834,           0.0049742,           0.0025729,            0.006634,            0.006634,            0.006634
                  36,            0.027337,           0.0097197,           0.0042221,             0.87745,             0.70378,             0.85231,              0.7379,            0.015892,           0.0049127,           0.0025334,            0.006535,            0.006535,            0.006535
                  37,            0.027129,            0.009692,           0.0042638,             0.83263,             0.70386,             0.83423,             0.73339,            0.015612,           0.0051776,           0.0024845,            0.006436,            0.006436,            0.006436
                  38,            0.026404,            0.009373,           0.0044804,             0.89446,             0.68716,             0.84196,             0.74881,            0.015652,           0.0049285,           0.0022313,            0.006337,            0.006337,            0.006337
                  39,            0.026413,           0.0090913,           0.0042846,             0.88974,              0.7009,             0.84121,             0.74462,            0.015381,           0.0049875,           0.0024051,            0.006238,            0.006238,            0.006238
                  40,            0.026473,           0.0093111,           0.0040897,             0.86807,             0.72125,             0.84918,             0.76236,            0.015067,           0.0048163,           0.0021959,            0.006139,            0.006139,            0.006139
                  41,            0.026133,           0.0091254,           0.0040812,             0.87929,              0.7156,             0.85817,             0.75741,            0.015529,           0.0050656,           0.0020893,             0.00604,             0.00604,             0.00604
                  42,            0.025862,           0.0088787,           0.0042729,             0.80546,             0.68217,             0.82533,              0.7344,            0.015016,            0.005184,           0.0026431,            0.005941,            0.005941,            0.005941
                  43,            0.025438,           0.0094438,           0.0042894,             0.92654,             0.68476,             0.84138,              0.7359,            0.015264,           0.0051271,            0.002244,            0.005842,            0.005842,            0.005842
                  44,            0.025435,           0.0092065,           0.0041846,             0.89441,             0.66463,             0.83442,             0.72081,            0.015569,           0.0052494,            0.002664,            0.005743,            0.005743,            0.005743
                  45,            0.025662,           0.0092239,           0.0042449,             0.86319,             0.71391,             0.84968,             0.75307,            0.015633,           0.0052435,           0.0021748,            0.005644,            0.005644,            0.005644
                  46,             0.02576,           0.0088825,           0.0040185,             0.83949,              0.7236,             0.85566,             0.76553,            0.015497,           0.0053675,           0.0021063,            0.005545,            0.005545,            0.005545
                  47,            0.025676,           0.0090332,           0.0039837,             0.88947,             0.68572,              0.8398,             0.73963,            0.015603,           0.0052673,           0.0022704,            0.005446,            0.005446,            0.005446
                  48,            0.024762,           0.0086904,           0.0043212,             0.86504,             0.70566,              0.8492,             0.75625,            0.014821,           0.0050645,           0.0022464,            0.005347,            0.005347,            0.005347
                  49,            0.024783,           0.0087609,           0.0042614,             0.86511,             0.70651,             0.84369,             0.74643,            0.014792,           0.0048757,           0.0022121,            0.005248,            0.005248,            0.005248
                  50,            0.024174,           0.0088465,           0.0038301,             0.84159,             0.75195,             0.85857,             0.76254,            0.014503,           0.0051483,           0.0021061,            0.005149,            0.005149,            0.005149
                  51,            0.025073,           0.0086297,           0.0038477,              0.8689,             0.72181,             0.85051,             0.75276,            0.014726,           0.0051248,           0.0022536,             0.00505,             0.00505,             0.00505
                  52,            0.024367,           0.0085881,            0.003926,             0.89499,             0.69742,             0.86023,             0.74892,            0.014796,           0.0049582,           0.0021861,            0.004951,            0.004951,            0.004951
                  53,            0.023615,           0.0084524,           0.0039538,             0.85719,             0.71879,             0.85629,             0.76756,            0.015051,           0.0053779,            0.002185,            0.004852,            0.004852,            0.004852
                  54,            0.024007,           0.0088608,           0.0036663,             0.90616,              0.7038,             0.85909,             0.76441,            0.014573,            0.005163,           0.0020118,            0.004753,            0.004753,            0.004753
                  55,             0.02427,           0.0084238,           0.0038894,             0.88719,             0.69569,              0.8452,             0.75968,            0.014486,           0.0051496,           0.0022703,            0.004654,            0.004654,            0.004654
                  56,            0.024332,            0.008454,           0.0039234,             0.88854,             0.72572,             0.86021,             0.76855,            0.014867,           0.0053041,           0.0020628,            0.004555,            0.004555,            0.004555
                  57,            0.023191,           0.0084906,           0.0040149,             0.88065,             0.74473,             0.88157,              0.7812,            0.014596,           0.0052886,           0.0020865,            0.004456,            0.004456,            0.004456
                  58,            0.022706,           0.0080315,           0.0040547,             0.82554,             0.75776,             0.86218,             0.77461,            0.014908,           0.0052196,            0.002072,            0.004357,            0.004357,            0.004357
