               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069383,            0.028453,            0.020318,             0.72224,             0.34862,             0.29698,             0.10874,             0.01872,            0.008045,           0.0073111,            0.070566,           0.0032704,           0.0032704
                   1,            0.038317,            0.020963,            0.016214,             0.24175,             0.44767,             0.33859,             0.19551,             0.01567,            0.006411,           0.0065582,            0.040501,           0.0065384,           0.0065384
                   2,            0.032722,            0.015934,            0.014297,             0.46811,             0.93344,             0.56124,             0.35693,           0.0084672,           0.0045166,           0.0095476,            0.010369,           0.0097404,           0.0097404
                   3,            0.028485,            0.013111,            0.015737,             0.49733,             0.62543,             0.47971,             0.26715,            0.010561,           0.0048784,           0.0070879,            0.009703,            0.009703,            0.009703
                   4,              0.0249,            0.011702,            0.014266,             0.75214,              0.6023,             0.67154,             0.44451,           0.0086759,           0.0033131,             0.00592,            0.009703,            0.009703,            0.009703
                   5,            0.023445,            0.011107,            0.015693,             0.54164,             0.82837,              0.6409,              0.4897,           0.0045729,           0.0020734,           0.0057264,            0.009604,            0.009604,            0.009604
                   6,            0.020339,           0.0099511,            0.013311,             0.48542,             0.81612,             0.64686,             0.49531,           0.0055233,            0.001424,           0.0077419,            0.009505,            0.009505,            0.009505
                   7,            0.020836,            0.009722,            0.014071,             0.81511,             0.75422,             0.83282,             0.70975,            0.004468,           0.0021793,           0.0045842,            0.009406,            0.009406,            0.009406
                   8,            0.017853,           0.0087218,            0.012948,             0.69042,             0.78617,             0.78168,             0.40594,            0.010022,           0.0012924,           0.0061083,            0.009307,            0.009307,            0.009307
                   9,            0.020131,           0.0086135,            0.013449,              0.7504,             0.79097,              0.8339,             0.70907,           0.0045242,           0.0016105,           0.0051387,            0.009208,            0.009208,            0.009208
                  10,            0.017773,           0.0082503,            0.013269,             0.68126,             0.84084,             0.83851,               0.682,            0.005772,           0.0018311,           0.0065853,            0.009109,            0.009109,            0.009109
                  11,            0.016706,           0.0080252,             0.01379,             0.79961,             0.80428,             0.84417,             0.77337,           0.0029797,           0.0020143,           0.0043939,             0.00901,             0.00901,             0.00901
                  12,            0.013476,           0.0077425,            0.011602,             0.54871,             0.93152,             0.75704,              0.6841,           0.0048063,           0.0019053,            0.011091,            0.008911,            0.008911,            0.008911
                  13,            0.015503,           0.0073565,            0.011624,             0.82191,             0.76922,             0.83371,             0.79436,           0.0021449,           0.0018458,            0.004728,            0.008812,            0.008812,            0.008812
                  14,             0.01489,           0.0072673,            0.012825,             0.89937,             0.73399,             0.83633,             0.73315,           0.0036071,           0.0018315,           0.0043174,            0.008713,            0.008713,            0.008713
                  15,            0.012874,           0.0070291,            0.010739,             0.53934,             0.96094,             0.78245,             0.69953,           0.0040751,           0.0021718,            0.010999,            0.008614,            0.008614,            0.008614
                  16,             0.01259,           0.0066987,            0.011441,             0.74119,             0.82101,             0.85546,             0.79957,           0.0022337,           0.0014951,           0.0047991,            0.008515,            0.008515,            0.008515
                  17,            0.013799,           0.0068051,            0.012708,             0.87508,             0.78355,             0.86909,             0.81201,           0.0036763,           0.0021707,           0.0039995,            0.008416,            0.008416,            0.008416
                  18,            0.013559,           0.0065582,            0.011213,             0.75426,             0.82729,             0.86728,             0.81324,           0.0024577,           0.0020307,           0.0042716,            0.008317,            0.008317,            0.008317
                  19,            0.012466,           0.0065256,            0.012348,             0.76793,             0.83506,             0.87563,             0.84959,           0.0022279,           0.0021714,           0.0045842,            0.008218,            0.008218,            0.008218
                  20,            0.014387,            0.006423,            0.011615,             0.94053,             0.75737,             0.86297,             0.83912,           0.0020462,           0.0020247,            0.004088,            0.008119,            0.008119,            0.008119
                  21,            0.011874,           0.0064081,            0.010876,             0.86801,             0.79264,             0.85255,             0.81315,           0.0016807,           0.0015876,           0.0042618,             0.00802,             0.00802,             0.00802
                  22,            0.012633,           0.0061651,            0.010734,             0.87419,             0.78726,             0.85708,             0.80202,           0.0024175,           0.0018428,           0.0039583,            0.007921,            0.007921,            0.007921
                  23,            0.011886,           0.0061334,            0.011046,             0.88014,             0.78957,             0.87763,             0.82716,           0.0028712,           0.0021278,           0.0038609,            0.007822,            0.007822,            0.007822
                  24,            0.011865,           0.0060399,             0.01152,             0.92332,             0.78291,             0.89009,             0.80482,           0.0032679,           0.0018799,           0.0038956,            0.007723,            0.007723,            0.007723
                  25,            0.012265,           0.0062591,            0.011184,             0.89055,             0.80118,             0.89107,             0.85564,           0.0019908,           0.0020761,           0.0037425,            0.007624,            0.007624,            0.007624
                  26,            0.011259,           0.0059486,            0.010925,             0.91164,             0.79417,             0.87585,             0.83902,           0.0031131,           0.0029429,            0.003915,            0.007525,            0.007525,            0.007525
