               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056526,            0.027172,            0.018006,             0.30074,             0.35167,             0.25649,             0.11214,            0.017686,           0.0069841,           0.0066291,            0.070286,           0.0033016,           0.0033016
                   1,            0.034102,            0.018218,            0.015849,             0.25385,             0.66493,             0.31887,             0.20819,            0.010936,           0.0036707,           0.0074956,             0.04022,           0.0065692,           0.0065692
                   2,             0.02861,            0.013566,            0.013723,             0.44757,             0.71692,             0.52183,              0.3419,            0.011154,           0.0021043,           0.0057907,            0.010088,           0.0097709,           0.0097709
                   3,            0.024691,            0.011438,            0.013597,             0.33376,             0.68042,             0.40736,              0.1839,            0.015705,           0.0031392,            0.013004,            0.009703,            0.009703,            0.009703
                   4,            0.021909,           0.0099941,            0.012629,             0.84732,             0.76576,             0.84065,             0.68725,           0.0092346,           0.0016147,           0.0043134,            0.009703,            0.009703,            0.009703
                   5,            0.019374,           0.0094417,            0.012511,             0.71691,             0.72664,             0.77822,             0.67709,           0.0041366,           0.0015827,           0.0046874,            0.009604,            0.009604,            0.009604
                   6,            0.017372,           0.0086955,            0.012496,             0.79264,             0.75231,             0.80357,             0.56046,           0.0060664,           0.0025996,           0.0052197,            0.009505,            0.009505,            0.009505
                   7,            0.017162,           0.0087331,            0.011968,             0.81249,             0.77149,             0.83699,             0.76349,           0.0033344,           0.0018686,           0.0042452,            0.009406,            0.009406,            0.009406
                   8,            0.014569,           0.0078187,            0.011146,             0.84079,             0.78574,             0.84796,              0.7351,           0.0061943,           0.0024091,           0.0038369,            0.009307,            0.009307,            0.009307
                   9,            0.014874,           0.0075334,            0.011528,             0.82334,             0.77179,             0.85426,             0.78712,           0.0030173,           0.0017754,           0.0040481,            0.009208,            0.009208,            0.009208
                  10,            0.014918,           0.0075792,             0.01155,             0.45695,             0.94801,             0.67067,             0.59012,           0.0050208,           0.0016401,            0.014508,            0.009109,            0.009109,            0.009109
                  11,            0.013543,           0.0073462,            0.012394,               0.838,             0.75522,             0.84757,                0.79,           0.0027493,           0.0019972,           0.0044633,             0.00901,             0.00901,             0.00901
                  12,            0.012194,           0.0069506,            0.011244,             0.77046,             0.72965,             0.81809,             0.72635,           0.0064787,           0.0023101,           0.0051021,            0.008911,            0.008911,            0.008911
                  13,            0.012509,           0.0067398,            0.011162,             0.91428,             0.71702,             0.80499,             0.77006,           0.0024859,           0.0016924,           0.0045294,            0.008812,            0.008812,            0.008812
                  14,             0.01174,           0.0065932,            0.011312,             0.90167,             0.77883,             0.87036,             0.78188,           0.0036988,           0.0021245,           0.0037644,            0.008713,            0.008713,            0.008713
