epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3445,1.3867,2.7732,1.79245,0.42605,0.48766,0.33818,0.25509,1.05269,2.13574,1.2526,0.0703797,0.00329114,0.00329114
2,185.4,0.80486,1.36725,1.19108,0.33332,0.75294,0.45364,0.33308,0.90592,2.00913,1.06137,0.0403142,0.00655889,0.00655889
3,204.355,0.78793,1.17646,1.16215,0.69239,0.49119,0.53708,0.41881,1.0926,1.68677,1.31917,0.0101826,0.00976064,0.00976064
4,222.679,0.77072,1.079,1.16689,0.34151,0.53109,0.34941,0.23707,0.98725,1.83356,1.16332,0.009703,0.009703,0.009703
5,240.684,0.73992,0.97877,1.13952,0.55903,0.52217,0.60022,0.48336,0.69989,1.19155,0.74464,0.009604,0.009604,0.009604
6,258.944,0.71162,0.93336,1.1138,0.24974,0.60989,0.3489,0.24763,1.13007,3.00866,1.61896,0.009505,0.009505,0.009505
7,277.193,0.69353,0.89549,1.10254,0.87238,0.52949,0.70824,0.5889,0.75205,0.94104,0.87424,0.009406,0.009406,0.009406
8,295.221,0.64337,0.83989,1.08062,0.73275,0.56116,0.67045,0.47054,0.96628,1.14824,1.29438,0.009307,0.009307,0.009307
9,313.181,0.63698,0.82039,1.07151,0.64715,0.64027,0.72254,0.5983,0.73703,1.00491,0.82987,0.009208,0.009208,0.009208
10,331.268,0.61592,0.81226,1.06063,0.81873,0.61515,0.73709,0.60249,0.77006,0.83709,0.9148,0.009109,0.009109,0.009109
11,349.289,0.62206,0.80694,1.06798,0.51065,0.83924,0.75531,0.6135,0.66846,1.04933,0.73658,0.00901,0.00901,0.00901
12,367.334,0.58756,0.769,1.05228,0.74516,0.636,0.72757,0.63081,0.62132,0.8074,0.70996,0.008911,0.008911,0.008911
13,385.251,0.59306,0.76803,1.04276,0.8329,0.60265,0.77107,0.63636,0.65708,0.80861,0.72694,0.008812,0.008812,0.008812
14,403.214,0.58622,0.75621,1.04506,0.74148,0.59938,0.72345,0.61568,0.64269,0.79915,0.75101,0.008713,0.008713,0.008713
15,421.239,0.55344,0.7122,1.03,0.73018,0.68599,0.7783,0.65718,0.6844,0.82534,0.77565,0.008614,0.008614,0.008614
16,439.232,0.57611,0.73816,1.03196,0.79022,0.69475,0.79875,0.6879,0.63184,0.75773,0.68654,0.008515,0.008515,0.008515
17,457.203,0.55696,0.72762,1.03209,0.80995,0.61512,0.77046,0.68535,0.59371,0.75114,0.70499,0.008416,0.008416,0.008416
18,476.063,0.55661,0.71566,1.02818,0.82627,0.63284,0.7678,0.66939,0.59391,0.7691,0.67244,0.008317,0.008317,0.008317
19,494.523,0.52215,0.68349,1.01452,0.88023,0.64448,0.80138,0.67804,0.71705,0.78389,0.92428,0.008218,0.008218,0.008218
