epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.185,1.46582,2.17553,1.85451,0.59753,0.53302,0.5897,0.41394,0.94146,1.20977,1.12149,0.0701899,0.00331224,0.00331224
2,149.19,0.73736,0.96485,1.15424,0.69768,0.63678,0.70968,0.53288,0.77689,1.07407,0.93955,0.0401241,0.00657978,0.00657978
3,182.119,0.73197,0.92718,1.13292,0.66985,0.59404,0.65831,0.48199,1.10823,1.10624,1.45319,0.00999229,0.00978132,0.00978132
4,215.729,0.73216,0.90846,1.1396,0.2035,0.73387,0.29847,0.16782,1.36011,2.25311,2.21213,0.009703,0.009703,0.009703
5,249.518,0.71768,0.87835,1.12389,0.7006,0.53128,0.63257,0.5233,0.77199,0.9568,0.83607,0.009604,0.009604,0.009604
6,282.245,0.68626,0.84453,1.09794,0.61107,0.61412,0.64254,0.48657,0.94101,1.0548,1.12025,0.009505,0.009505,0.009505
7,315.687,0.66948,0.82421,1.0803,0.45189,0.83124,0.62398,0.47537,0.82235,1.25379,0.98815,0.009406,0.009406,0.009406
8,358.781,0.62623,0.77865,1.06928,0.627,0.66227,0.72303,0.604,0.71877,0.96564,0.8077,0.009307,0.009307,0.009307
9,391.882,0.63022,0.77552,1.06882,0.82949,0.61682,0.76675,0.65968,0.6681,0.76557,0.73152,0.009208,0.009208,0.009208
10,425.001,0.60584,0.76072,1.05494,0.5441,0.75717,0.70317,0.57125,0.80085,1.08673,0.96873,0.009109,0.009109,0.009109
11,457.677,0.59732,0.74274,1.04878,0.58442,0.74714,0.739,0.62389,0.67812,1.02925,0.73808,0.00901,0.00901,0.00901
12,490.327,0.57767,0.73702,1.04456,0.85694,0.63284,0.75004,0.65296,0.66148,0.79231,0.73611,0.008911,0.008911,0.008911
13,523.216,0.56736,0.71605,1.03454,0.81361,0.65909,0.78737,0.70069,0.55636,0.69223,0.60325,0.008812,0.008812,0.008812
14,561.504,0.56333,0.71925,1.03584,0.86498,0.6574,0.78568,0.70995,0.54343,0.68464,0.61849,0.008713,0.008713,0.008713
15,594.468,0.5433,0.69514,1.02444,0.73458,0.67046,0.77424,0.67679,0.56115,0.77885,0.61524,0.008614,0.008614,0.008614
16,632.692,0.55362,0.70662,1.01965,0.8559,0.68244,0.82971,0.74724,0.49817,0.62398,0.56603,0.008515,0.008515,0.008515
17,678.328,0.53759,0.69315,1.01712,0.79842,0.6857,0.80186,0.69992,0.58828,0.69872,0.6377,0.008416,0.008416,0.008416
