epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9979,1.44059,2.7703,2.07379,0.47186,0.49135,0.52236,0.45337,0.62216,2.18684,0.90589,0.070566,0.00327044,0.00327044
2,30.766,0.52779,1.21682,1.1137,0.50063,0.96251,0.5886,0.52245,0.48444,1.48277,0.69699,0.0405007,0.0065384,0.0065384
3,42.6444,0.52708,0.95365,1.09383,0.16367,0.544,0.20302,0.08272,1.58119,2.47634,2.61174,0.0103693,0.00974035,0.00974035
4,54.4912,0.49803,0.88954,1.06876,0.51788,0.82495,0.5729,0.45867,0.78651,1.68757,1.18987,0.009703,0.009703,0.009703
5,66.1668,0.46325,0.79331,1.04425,0.597,0.7033,0.68903,0.54536,0.73707,1.43005,1.20397,0.009604,0.009604,0.009604
6,77.9711,0.42238,0.72114,1.02588,0.62989,0.71978,0.68948,0.59547,0.4554,1.417,0.81604,0.009505,0.009505,0.009505
7,90.1951,0.39755,0.66914,1.00589,0.6761,0.79259,0.78348,0.71101,0.41143,0.72944,0.69101,0.009406,0.009406,0.009406
8,102.135,0.37697,0.6416,0.99253,0.89503,0.73943,0.81496,0.75901,0.30083,0.55049,0.40691,0.009307,0.009307,0.009307
9,114.034,0.36105,0.63905,0.98218,0.53026,0.94569,0.79196,0.72572,0.421,0.98407,0.59872,0.009208,0.009208,0.009208
10,125.871,0.33617,0.60954,0.96849,0.70264,0.77052,0.8243,0.77653,0.29688,0.68494,0.43642,0.009109,0.009109,0.009109
11,137.874,0.32695,0.57927,0.96347,0.62764,0.4086,0.30802,0.27875,0.52244,3.41921,0.72416,0.00901,0.00901,0.00901
12,149.59,0.31605,0.56071,0.95842,0.73724,0.78529,0.83311,0.78189,0.32619,0.63566,0.49808,0.008911,0.008911,0.008911
13,161.284,0.30502,0.55623,0.96018,0.66168,0.75546,0.79327,0.75641,0.28297,0.81135,0.44481,0.008812,0.008812,0.008812
14,172.948,0.2965,0.55305,0.95172,0.66191,0.73793,0.8205,0.73045,0.30774,0.78683,0.40868,0.008713,0.008713,0.008713
15,184.587,0.2848,0.54107,0.94797,0.55553,0.95117,0.86036,0.83381,0.22656,0.92321,0.31189,0.008614,0.008614,0.008614
16,196.247,0.28393,0.53864,0.95062,0.86917,0.82031,0.8854,0.8596,0.2158,0.44575,0.30532,0.008515,0.008515,0.008515
