epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.336,1.45459,2.14246,2.06498,0.46855,0.80793,0.56402,0.3389,1.55091,1.65213,1.81212,0.0702857,0.00330159,0.00330159
2,176.988,0.50656,0.79896,1.10613,0.72582,0.66514,0.71862,0.64617,0.45595,0.84613,0.6705,0.04022,0.00656923,0.00656923
3,197.474,0.49146,0.72,1.0745,0.42177,0.85987,0.5393,0.46218,0.57385,1.71867,0.77249,0.0100883,0.00977088,0.00977088
4,217.72,0.47919,0.73052,1.05794,0.48387,0.90017,0.58683,0.51022,0.60654,0.90036,0.93195,0.009703,0.009703,0.009703
5,237.771,0.43467,0.66979,1.03344,0.64639,0.70514,0.69863,0.56688,0.58741,0.75451,0.84854,0.009604,0.009604,0.009604
6,257.609,0.4142,0.63957,1.02023,0.50208,0.74805,0.50256,0.42136,0.79372,1.9274,1.43768,0.009505,0.009505,0.009505
7,277.554,0.39267,0.61227,1.00235,0.56794,0.62923,0.62351,0.51707,0.66589,0.86151,1.11758,0.009406,0.009406,0.009406
8,297.561,0.36484,0.60102,0.99502,0.47428,0.93731,0.71441,0.53725,0.99333,1.19675,1.86052,0.009307,0.009307,0.009307
9,317.55,0.35685,0.59529,0.98168,0.85815,0.79264,0.8691,0.84934,0.22316,0.42343,0.30017,0.009208,0.009208,0.009208
10,338.151,0.34183,0.57202,0.97587,0.73131,0.75614,0.83861,0.80684,0.32746,0.63057,0.50617,0.009109,0.009109,0.009109
11,358.81,0.32626,0.55308,0.96303,0.78564,0.76828,0.85217,0.81636,0.3041,0.53852,0.38514,0.00901,0.00901,0.00901
12,379.483,0.31243,0.53031,0.95928,0.88516,0.79032,0.88213,0.82183,0.37244,0.48828,0.45272,0.008911,0.008911,0.008911
13,400.092,0.30419,0.53614,0.95825,0.87126,0.76719,0.84444,0.80454,0.26504,0.4572,0.39116,0.008812,0.008812,0.008812
14,420.9,0.29612,0.5316,0.95659,0.82418,0.76018,0.8464,0.82406,0.23032,0.47835,0.35056,0.008713,0.008713,0.008713
15,441.546,0.28017,0.52687,0.94631,0.66706,0.90472,0.86098,0.81353,0.327,0.57967,0.41219,0.008614,0.008614,0.008614
16,462.162,0.28054,0.52873,0.94969,0.91672,0.78431,0.87253,0.84182,0.24586,0.39476,0.34378,0.008515,0.008515,0.008515
17,482.815,0.27208,0.5342,0.94815,0.90245,0.79294,0.86148,0.83128,0.22815,0.42148,0.29406,0.008416,0.008416,0.008416
18,503.528,0.26512,0.51045,0.93761,0.4521,0.8894,0.70661,0.67769,0.34775,1.18041,0.50035,0.008317,0.008317,0.008317
19,524.438,0.25789,0.4898,0.93629,0.55415,0.918,0.79478,0.74323,0.39747,1.25459,0.76519,0.008218,0.008218,0.008218
20,545.05,0.25984,0.49661,0.94239,0.49748,0.88922,0.59596,0.5422,0.48549,1.15912,0.73872,0.008119,0.008119,0.008119
21,565.683,0.25225,0.49869,0.93572,0.86036,0.76319,0.85694,0.83135,0.28197,0.48913,0.42743,0.00802,0.00802,0.00802
22,586.359,0.24368,0.48704,0.93451,0.80828,0.80816,0.90641,0.89053,0.2193,0.46242,0.30819,0.007921,0.007921,0.007921
23,607.01,0.24152,0.48101,0.9302,0.86472,0.80168,0.89063,0.87695,0.18518,0.38815,0.26292,0.007822,0.007822,0.007822
